id,w212,sex,comb_g,1_116783698,Gg_rs14877932,Gg_rs14885084,1_134165693,Gg_rs13939684,Gg_rs15427022,Gg_rs14891046,Gg_rs14893407,Gg_rs14895423,Gg_rs14084016,Gg_rs15015376,Gg_rs15777012,Gg_rs15749695,chr3_16000000,3_16300000,Gg_rs15282380,3_23988469,Gg_rs14327472,3_27044082,Gg_rs15308709,Gg_rs14334308,Gg_rs16251229,Gg_rs15321001,3_36969573,Gg_rs15326621,Gg_rs14342633,Gg_rs13675715,Gg_rs15337358,Gg_rs16263890,Gg_rs14349767,Gg_rs14355077,Gg_rs15352400,snp-17-141-24973-S-1,Gg_rs15361114,Gg_rs16281414,rbl1045,snp-136-57-976-S-1,Gg_rs15371495,Gg_rs16289999,Gg_rs14368844
34172,916,0,1.8,H,B,H,H,H,H,H,H,H,H,H,B,H,H,H,A,-,H,B,B,B,H,H,H,H,H,H,A,A,A,H,H,B,B,B,B,H,H,H,H
34173,983,0,1.5,H,B,B,B,B,B,B,B,B,A,A,B,A,A,A,A,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34174,1107,0,3.8,A,-,B,B,B,B,B,B,B,A,A,B,A,A,A,A,C,H,B,B,B,H,H,H,H,A,A,A,A,A,-,H,H,H,H,H,H,H,H,H
34175,1390,1,16.3,H,B,H,H,H,H,H,H,A,A,A,B,A,A,A,A,C,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
34176,1014,0,2.4,H,H,H,H,B,B,B,B,B,H,B,B,B,B,B,H,C,H,H,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34177,NA,0,2.2,H,B,A,A,H,H,B,B,B,B,B,H,B,B,H,H,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H
34178,1570,1,29.5,H,H,H,H,H,H,B,B,B,B,B,H,B,B,H,H,B,B,B,B,H,A,A,A,A,A,A,H,A,A,A,A,A,A,A,H,H,H,H,H
34179,NA,1,NA,B,B,H,H,H,H,H,H,B,A,H,H,H,H,H,A,C,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,H,H
34180,996,0,2,H,H,H,-,H,H,H,H,B,H,B,H,B,B,-,B,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H
34181,1150,0,1,A,-,A,A,H,H,B,B,B,A,H,H,H,H,-,H,-,B,B,B,H,A,A,A,A,A,A,-,H,H,H,H,H,H,H,H,H,A,A,A
34182,NA,0,NA,B,B,H,H,H,H,H,H,B,B,B,H,B,B,H,H,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H
34183,1373,1,36.9,H,H,H,H,B,B,B,B,B,B,B,H,B,B,-,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34184,1514,1,31.8,H,H,H,H,B,B,B,B,B,B,B,H,B,B,H,H,C,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34185,1532,1,51.4,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34186,1087,0,2,H,H,H,H,H,H,H,H,H,B,B,H,B,B,B,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,A,A,A,A,A
34187,1167,0,2.2,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,C,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H
34188,NA,0,NA,A,A,A,H,B,B,B,B,H,B,B,H,B,-,B,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34189,1269,0,1.8,H,A,A,-,A,A,A,H,H,H,H,H,H,H,A,H,C,H,H,A,A,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,A,A,A,A
34190,1322,1,12.4,A,A,B,B,B,B,B,H,H,H,H,H,H,H,H,A,C,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34191,963,0,2.2,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,-,A,A,A,H,H,H,H,H,B,H,H,H,H,H,H,B,H,B,B,B,B,B,B
34192,998,0,1.5,H,H,H,H,H,H,B,H,H,H,H,H,H,H,B,-,C,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,B,B,B,B,B,B,-,B
34193,NA,0,NA,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,B,B,B,A,H,H,H,H,B,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34194,1243,1,28.7,A,H,A,-,A,A,H,H,H,A,A,B,A,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34195,NA,0,NA,H,H,H,B,B,B,B,H,B,A,A,H,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34197,1835,1,31.2,B,A,A,-,A,A,A,H,H,H,H,H,H,H,A,A,C,H,H,A,H,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,H,H,H
34198,889,0,4.2,H,H,H,B,B,B,B,H,B,A,A,A,A,A,H,-,C,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,-,H,H,H,H
34200,NA,1,NA,A,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34201,1060,0,2.5,A,A,H,H,H,H,H,H,B,A,A,B,A,A,A,A,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34202,1296,1,32.2,H,H,B,H,H,H,H,H,B,A,A,H,A,A,A,A,-,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34203,1324,1,38.1,H,H,A,A,A,A,H,A,A,A,H,A,H,-,H,H,-,A,A,A,A,B,B,B,B,B,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34204,1059,1,28.3,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,-,A,A,A,A,B,B,B,B,B,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34205,1219,1,54.5,A,A,H,H,H,H,B,H,H,A,H,H,H,H,H,H,-,A,A,A,A,B,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34206,1322,1,24.4,H,H,B,B,B,B,B,H,H,A,H,A,H,H,-,H,-,A,A,A,A,B,B,B,B,B,B,B,H,H,A,A,A,A,A,A,A,A,A,A
34207,NA,0,NA,B,B,H,H,H,H,H,H,H,H,B,H,B,B,B,B,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34208,NA,1,NA,A,H,A,A,A,A,A,H,H,H,H,H,H,H,H,A,-,A,A,A,A,B,B,B,B,B,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34209,900,0,1.9,A,A,H,H,H,H,H,H,H,H,H,A,H,-,H,A,-,A,A,A,A,B,B,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34210,917,0,2,H,H,H,H,H,H,A,H,B,B,B,H,B,B,H,H,C,H,H,H,A,A,A,A,A,A,A,-,A,A,A,A,A,H,H,H,H,A,A,A
34213,1097,1,25.2,H,H,H,A,A,A,H,B,B,B,B,B,B,B,H,H,C,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34214,NA,0,NA,H,H,H,A,A,A,A,H,B,B,B,H,B,B,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H
34215,842,0,2,H,H,H,H,B,B,B,B,B,-,H,H,H,H,A,H,-,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34216,835,0,1.7,H,A,B,H,H,H,H,H,H,H,H,B,H,H,H,H,-,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34217,820,0,0.7,H,H,A,A,A,A,A,B,B,A,A,H,A,A,A,H,-,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34218,1116,1,19.4,H,H,H,H,B,B,H,A,H,H,H,H,H,H,H,B,C,H,H,H,A,H,H,H,H,H,H,-,H,H,A,A,H,H,H,H,H,H,H,H
34219,1115,1,19.4,H,H,A,A,H,H,A,H,H,A,A,B,A,A,A,H,-,H,H,A,A,H,H,H,H,H,A,A,A,A,A,A,H,H,H,A,A,A,A,A
34220,1429,1,29.2,H,A,A,A,A,A,A,A,A,B,B,H,B,B,H,H,C,H,H,A,H,A,A,A,A,A,H,B,A,A,A,A,A,A,A,A,A,A,A,A
34221,1003,0,5.6,H,H,H,H,H,H,H,H,H,B,B,H,B,B,H,H,C,H,H,A,A,A,A,A,A,A,H,B,A,A,A,A,A,A,A,A,A,H,H,H
34222,1236,0,3.5,H,H,H,B,B,B,H,H,H,H,H,B,H,H,H,H,C,H,H,B,H,H,H,H,A,A,A,A,H,H,H,H,B,B,B,H,H,H,H,H
34224,1006,0,2.2,H,H,H,H,H,B,B,H,H,H,H,H,H,H,B,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,A,A,A
34225,776,0,1.4,H,H,A,A,A,A,A,A,A,H,H,B,H,H,H,A,C,H,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34227,NA,1,NA,H,H,H,H,H,H,H,H,B,H,H,A,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H
34228,NA,1,NA,H,H,H,A,A,A,H,B,B,H,H,H,H,-,-,H,-,A,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,B,B,B,B,H,H,H
34229,1298,1,44,B,B,H,H,H,H,H,H,H,H,B,H,B,B,B,B,-,A,A,A,A,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H
34231,NA,0,NA,H,H,H,-,B,B,B,B,H,H,H,B,H,H,H,H,C,H,H,H,H,B,B,B,B,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A
34233,NA,0,NA,H,H,A,H,B,B,B,B,B,H,H,B,H,H,-,H,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H
34235,NA,0,NA,H,H,B,H,H,H,H,H,B,B,B,H,B,B,-,H,C,H,H,H,H,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34236,1579,1,36.1,A,A,B,H,H,H,H,H,B,H,H,B,H,H,A,A,-,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34238,848,0,1.4,H,H,B,B,B,B,B,B,B,H,H,B,H,H,-,H,-,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34239,NA,1,NA,H,H,H,H,H,H,H,H,H,A,A,H,B,H,B,B,-,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H
34241,846,0,2.5,H,H,A,A,A,H,H,H,H,H,H,A,B,B,B,H,-,A,A,A,A,B,B,B,B,B,B,-,H,H,H,H,H,H,A,A,A,A,A,A
34242,984,0,2.8,H,H,H,H,H,H,H,A,H,A,A,B,A,A,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34243,1032,0,0.4,H,H,H,H,H,B,B,B,H,A,A,H,A,A,A,A,-,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34244,1334,1,19.5,H,H,H,H,H,H,B,H,H,H,H,B,H,H,H,A,-,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34245,1254,1,34.2,H,A,A,H,H,H,H,H,B,B,B,B,B,B,H,H,B,B,B,B,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A
34246,1255,1,38.3,H,H,H,B,B,H,H,H,H,B,B,H,B,B,H,H,B,B,B,B,H,B,B,B,B,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A
34247,1515,1,36.8,H,A,A,A,H,A,A,H,H,B,B,B,B,B,H,H,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,A,A,A,A
34248,1001,0,3.4,B,H,H,H,H,A,A,H,H,H,H,H,H,H,A,A,B,B,B,B,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A
34250,783,0,0.9,H,H,A,A,A,A,A,B,B,A,A,B,A,A,A,H,-,H,H,A,A,H,H,H,H,H,H,-,H,H,H,H,B,B,B,B,B,B,B,B
34251,1226,1,20,H,H,A,A,H,H,A,H,B,A,A,B,A,-,A,H,-,H,H,A,A,H,H,H,H,H,H,-,H,H,H,H,B,B,B,B,B,B,B,B
34252,933,0,0.6,H,H,H,A,H,H,H,A,H,H,-,B,H,H,H,A,-,H,H,A,A,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34253,778,0,0.8,B,B,H,H,H,H,H,B,B,A,A,B,A,H,A,A,-,A,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34254,849,0,1.1,H,H,A,H,H,H,H,B,B,H,H,B,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,A,A,A,A
34255,1221,0,0.6,B,B,A,H,H,H,H,H,H,A,A,H,A,A,A,A,-,A,A,A,A,A,A,A,A,H,B,H,H,H,H,H,B,-,B,B,A,A,A,A
34256,1263,1,26,H,H,H,A,A,A,A,A,A,A,A,B,A,A,A,A,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,H,B,B,B,B,B,B,B
34257,NA,0,NA,B,B,H,H,H,H,H,H,H,H,H,B,H,-,A,A,C,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34258,1194,1,22.7,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,H,C,H,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34259,1071,0,3.5,H,A,A,A,H,H,H,H,H,H,B,H,B,-,B,H,C,H,H,H,H,H,H,H,H,H,H,-,A,A,H,H,H,H,H,H,H,H,H,H
34260,1262,1,44.4,B,B,B,H,H,H,B,B,B,H,B,H,B,B,B,H,C,H,H,H,H,H,H,H,H,H,H,-,A,A,H,H,H,H,H,H,H,H,H,H
34261,1204,1,35.9,H,H,B,H,H,H,H,H,H,A,H,H,H,B,H,H,B,B,B,B,B,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H
34262,1602,1,56.8,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,A,-,A,A,A,A,B,B,B,B,B,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34263,950,1,22.3,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,A,-,A,A,A,A,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H
34264,1582,1,49.6,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,-,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34266,993,0,2,H,H,B,-,B,H,B,H,H,H,H,B,H,H,H,H,C,H,H,A,A,H,H,H,H,H,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34267,NA,1,NA,H,H,B,B,B,H,B,H,B,B,B,B,B,B,B,B,C,H,H,H,H,A,A,A,A,A,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34268,NA,1,NA,A,H,B,B,B,H,B,H,H,H,H,B,H,H,H,H,C,H,H,A,A,H,H,H,H,H,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34269,1509,1,32,A,A,A,A,A,H,H,H,B,B,H,H,H,H,A,A,C,H,H,H,A,A,A,A,A,A,A,-,A,A,A,A,-,A,A,A,A,A,A,A
34270,834,0,1.7,H,A,H,-,B,B,B,B,B,B,B,B,B,B,B,-,-,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34271,810,0,0.9,B,H,B,H,H,H,H,H,H,H,H,B,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34274,844,0,2.9,A,A,A,H,H,H,B,B,B,H,H,H,H,H,H,H,C,H,H,H,H,H,H,A,A,A,H,H,H,A,A,A,H,H,H,H,A,A,A,A
34275,1132,1,22.4,A,A,A,H,H,H,B,B,B,A,H,B,H,H,H,H,-,A,H,H,H,B,B,B,B,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H
34276,803,0,2.2,A,H,H,H,H,H,B,B,H,A,H,H,H,-,-,H,-,A,H,H,H,B,B,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
34278,NA,0,NA,H,A,A,A,A,A,A,A,A,B,B,H,B,-,-,H,B,B,B,H,H,A,A,A,A,A,H,B,A,A,A,A,A,A,A,A,A,A,A,A
34279,1078,0,1.1,H,A,A,A,A,A,A,A,A,B,B,H,B,B,H,H,C,H,H,A,A,A,A,H,H,H,B,-,A,A,A,A,A,A,A,A,A,H,H,H
34280,1390,1,29.6,B,H,H,A,A,A,A,A,A,B,B,H,B,B,H,H,C,H,H,A,A,A,A,H,A,A,H,B,A,A,A,A,A,A,A,A,A,A,A,A
34281,1291,1,35.2,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,A,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34282,1132,1,35.7,H,H,B,H,H,H,H,H,H,A,H,B,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H
34283,897,0,6.2,H,A,A,A,H,H,H,H,B,H,B,B,B,B,B,H,C,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
34284,1138,1,35.4,B,B,A,A,H,H,H,H,H,H,B,B,B,B,B,A,C,H,B,B,B,A,A,H,H,H,H,-,A,A,H,H,H,H,H,H,H,H,H,H
34285,1183,0,2.2,H,H,A,B,B,B,H,H,H,H,H,B,H,H,H,H,-,A,H,B,H,B,B,B,B,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H
34286,1077,0,5.9,H,H,A,H,H,H,H,H,H,H,H,B,H,H,H,H,C,H,H,B,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,A,A,A,A,A
34288,NA,1,NA,B,B,H,H,H,H,A,A,A,H,H,B,H,H,H,A,-,A,H,B,B,B,B,B,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H
34289,1607,1,35.6,B,B,H,H,H,H,A,A,A,A,A,B,A,A,A,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H
34290,1048,0,2.2,H,H,H,B,B,B,B,B,H,H,H,B,H,-,H,H,C,H,H,B,B,A,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A
34291,NA,1,NA,H,H,A,H,B,B,B,B,B,H,H,B,H,H,-,H,C,H,H,B,-,A,A,A,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H
34292,1580,1,26.9,A,H,A,A,B,B,B,B,H,A,A,B,A,A,A,A,C,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H
34294,848,0,2.6,H,H,H,H,H,H,H,B,B,B,B,A,B,-,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,B,B,B,H,A,A,A
34295,NA,1,NA,H,A,A,A,A,A,A,H,H,H,H,H,H,-,B,H,-,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34297,1124,0,2.4,H,H,H,H,H,H,H,A,H,A,A,H,A,A,H,A,-,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A,H,H,A,A,A,A,A,A
34298,1495,1,19.3,H,A,A,A,A,H,H,B,H,A,A,B,A,A,A,A,-,A,A,H,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34299,1564,1,26.1,H,H,H,H,H,B,B,H,H,H,H,B,H,H,H,A,-,A,A,H,H,A,A,A,A,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H
34300,836,0,2,H,H,H,H,H,H,H,H,B,A,A,H,A,A,A,A,-,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34301,873,0,2.9,A,A,B,H,H,H,H,H,B,H,H,H,H,H,A,A,-,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34302,907,0,2.1,B,H,H,-,B,H,H,H,B,H,H,B,H,H,A,A,B,B,B,B,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A
34303,NA,1,NA,H,A,-,B,B,H,H,H,H,A,H,B,H,-,-,-,B,B,B,B,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A
34304,1354,1,24.1,B,H,A,H,H,H,H,H,B,H,H,H,H,A,H,-,C,H,B,B,H,B,B,B,B,B,H,H,H,H,B,B,B,B,B,H,A,A,A,A
34305,1283,0,1.4,H,A,A,-,H,H,H,H,B,H,H,B,H,H,H,A,C,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,A,A,A,A,A,A,A,A
34306,953,0,0.6,B,H,A,A,A,A,A,H,B,H,H,H,H,-,H,-,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,A,A,A,A,A,A,A,A
34307,992,0,4.9,B,A,A,H,H,H,H,H,B,A,H,A,H,H,H,A,C,H,H,A,A,A,A,A,A,A,A,-,H,H,H,A,A,A,A,A,A,H,-,H
34308,1830,1,40,H,H,B,B,B,B,B,B,B,A,A,B,A,B,A,A,C,H,A,H,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34309,1221,0,3.7,H,H,B,B,B,B,B,B,B,A,A,H,A,-,A,A,C,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34310,1067,0,0.9,B,-,H,H,B,B,B,B,H,A,A,B,A,A,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,H,H,H,A,A,A
34311,1200,0,5,H,H,B,H,B,B,B,B,H,A,B,A,B,B,B,-,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34312,NA,0,NA,A,A,B,A,B,B,B,B,H,A,A,H,A,H,-,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,A,A,A,A
34313,1567,1,24.9,B,H,H,H,H,A,B,H,H,H,H,H,H,-,H,H,C,H,H,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34314,1049,0,2.8,H,-,H,H,H,A,H,B,B,B,B,B,B,B,-,B,C,H,H,A,A,H,H,H,H,H,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34316,1053,0,2.3,A,H,A,A,H,H,H,A,A,B,B,B,B,B,B,B,C,H,H,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34317,965,0,1.7,B,B,H,H,H,H,H,H,H,A,H,B,H,H,H,H,C,H,B,B,B,B,B,B,B,B,B,-,A,A,A,A,H,H,H,H,A,A,A,A
34318,1379,1,27.8,B,B,H,H,H,H,H,H,H,A,H,H,H,H,H,H,C,H,B,B,B,B,B,B,B,B,B,-,A,A,A,A,H,-,H,H,A,A,A,A
34319,1213,0,4.4,B,H,H,H,H,H,H,H,B,A,H,H,H,H,H,A,C,H,B,B,B,B,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34320,983,0,5.2,B,B,B,B,H,H,H,H,H,A,H,B,H,H,H,H,C,H,B,B,B,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A
34321,860,0,1.3,B,B,B,B,B,B,B,B,B,A,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34322,1078,0,2.6,A,A,H,H,H,H,H,H,H,A,A,H,B,B,B,B,C,H,H,H,A,H,H,H,H,H,H,-,H,A,A,A,A,A,A,A,A,H,H,H
34323,NA,0,2.2,H,H,H,B,H,H,-,H,H,A,A,H,B,-,B,H,-,A,A,A,A,B,B,B,B,B,B,-,H,H,H,H,H,H,A,A,A,A,A,A
34324,1040,0,0.6,A,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,-,A,A,A,A,H,H,H,H,B,B,H,H,H,H,H,B,B,B,B,H,H,H,H
34325,985,0,0.4,H,H,A,H,H,H,H,H,H,A,A,H,A,-,A,A,-,A,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A
34326,1400,1,19.4,H,H,A,H,H,H,H,H,H,A,A,H,A,A,A,H,-,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,B,H,B,B,A,A,A,A
34327,1383,1,23.6,H,B,B,B,B,B,B,B,H,A,H,A,H,H,H,H,-,A,A,H,A,A,A,A,A,A,A,H,H,A,A,A,H,H,H,H,A,A,A,A
34328,914,0,0.4,A,H,H,H,H,H,B,B,H,H,H,A,H,H,H,A,-,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,B,B,B,B,H,H,H,H
34329,1171,1,13.3,A,H,H,H,H,H,H,H,H,H,H,A,H,H,H,A,-,A,H,B,H,H,H,H,H,H,B,H,H,H,H,H,B,B,B,H,H,H,H,H
34330,1181,0,0.8,A,H,H,H,H,H,H,H,H,A,H,A,H,H,H,A,-,A,H,H,H,H,H,H,H,A,A,H,H,A,A,A,H,H,H,H,A,A,A,A
34331,1237,0,9.2,H,H,A,-,B,B,H,H,B,H,H,H,H,H,H,B,C,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34333,1093,0,1.6,A,H,A,H,B,B,H,H,B,B,B,H,B,B,H,H,B,H,H,H,A,A,A,A,A,A,A,H,A,A,A,A,A,H,H,H,H,H,H,H
34334,1418,1,34.8,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,B,C,H,H,H,H,A,A,A,A,A,A,H,A,A,A,A,A,H,H,H,H,H,H,H
34335,NA,1,NA,H,H,H,B,B,B,H,H,B,H,H,H,H,H,H,A,C,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,A,H,H,H,H,H,H,H
34336,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34337,1660,1,31.3,A,A,A,H,H,H,H,H,B,H,H,B,H,H,A,A,C,H,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,B,B,B,B
34338,NA,1,NA,H,H,H,H,H,H,H,H,B,B,B,B,B,B,-,A,C,H,H,H,A,H,H,H,H,B,B,-,H,H,H,H,H,-,H,H,H,H,H,H
34339,NA,1,NA,H,H,B,H,H,H,H,H,A,H,H,H,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34340,1460,1,27.9,H,H,A,A,A,A,A,A,A,A,H,H,H,-,B,H,-,A,A,A,A,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
